16	13	5	6	5	1	1	20	19	4
2	8	8	14	12	5	14	19	15	5
10	4	19	9	16	1	19	10	13	5
13	20	5	2	18	3	1	19	9	2
6	16	11	13	5	18	1	15	2	18
7	9	15	3	18	18	3	8	7	2
5	20	14	4	9	7	18	3	6	11
5	15	7	2	6	5	8	11	8	14
10	8	15	7	10	11	8	6	5	6
3	10	15	16	16	8	2	13	14	11
4	15	14	2	14	8	8	9	8	9
6	17	19	5	12	11	15	19	19	14
18	5	3	7	13	12	1	16	13	4
15	8	13	19	1	16	13	8	13	11
18	10	4	19	19	16	12	2	15	18
19	2	18	9	17	1	18	12	17	13
19	16	5	10	17	1	1	5	5	10
13	20	9	3	13	5	5	2	13	10
10	16	16	2	13	5	12	4	17	16
3	15	5	6	15	20	11	14	4	16
16	5	13	3	4	18	5	20	3	5
4	3	1	9	12	8	7	4	16	14
13	13	14	11	5	17	3	18	6	17
8	2	6	19	7	10	18	2	5	19
4	18	15	12	2	11	10	6	20	15
4	18	13	17	3	1	3	18	11	4
18	4	10	11	16	5	8	19	11	8
7	8	15	9	7	18	13	13	9	20
18	2	15	18	1	10	11	3	18	2
20	2	19	15	8	11	5	3	3	6
17	7	14	13	17	4	10	7	18	19
10	3	12	7	11	13	4	2	6	18
2	17	2	4	18	16	20	3	5	13
17	7	8	16	5	12	2	4	15	17
16	11	16	1	8	19	18	17	4	13
6	20	5	17	7	14	11	14	3	2
11	16	2	3	9	20	6	3	8	1
16	4	2	3	7	14	14	13	8	15
16	14	8	13	13	16	18	15	9	17
5	13	1	8	10	20	15	12	1	2
18	14	16	8	16	5	18	9	16	19
6	3	15	14	4	20	20	9	20	20
4	16	12	1	15	14	20	11	16	2
15	2	20	2	19	1	14	18	10	16
4	17	7	16	15	10	16	7	20	13
17	13	1	20	1	3	7	8	1	18
5	4	7	15	18	17	19	2	10	13
9	3	14	13	14	20	14	19	4	6
19	12	9	15	7	14	15	16	3	20
3	9	2	10	11	2	2	20	15	9
20	5	19	20	18	16	20	13	2	19
1	9	7	10	11	4	14	8	8	14
3	16	9	19	9	10	15	17	17	2
14	7	5	3	18	12	19	13	2	18
3	13	2	5	3	11	12	9	2	18
11	9	12	4	18	4	13	13	6	1
13	13	10	20	10	5	4	20	7	9
14	15	14	20	15	13	1	14	10	18
10	2	4	16	19	10	5	11	4	19
1	5	13	19	20	1	20	3	4	16
16	20	1	5	7	3	17	3	13	20
1	16	8	7	2	3	11	13	13	15
1	19	7	1	11	2	1	11	9	1
6	17	16	11	17	6	11	20	6	11
11	7	1	20	11	11	18	12	8	3
8	9	20	12	3	19	19	20	11	1
10	17	11	4	12	4	4	8	18	9
4	20	2	15	3	14	18	18	14	8
6	16	10	8	12	11	17	4	2	6
10	15	2	19	10	12	13	5	16	4
20	9	13	9	16	10	12	13	1	15
1	16	9	3	11	14	8	14	13	20
18	17	15	8	19	7	19	8	20	13
14	9	20	10	9	10	4	2	18	10
9	1	9	11	18	4	3	15	5	17
2	18	10	15	19	13	9	6	18	6
14	13	11	18	12	7	8	15	17	14
5	2	10	17	12	10	5	20	15	6
8	15	7	16	3	7	6	5	10	1
5	11	20	9	2	20	5	4	2	5
16	17	13	8	18	14	11	16	11	15
5	14	16	18	6	9	2	3	8	14
6	12	3	14	16	7	2	10	3	7
2	8	5	3	3	20	18	2	20	18
2	9	13	10	4	20	14	5	6	11
7	15	8	10	3	5	16	3	18	3
18	9	7	11	11	1	8	4	5	15
1	15	19	7	3	12	13	5	15	6
9	17	14	4	1	14	15	15	18	6
16	7	16	15	17	19	6	13	9	14
9	9	10	11	7	20	10	6	14	8
15	20	19	8	16	8	12	16	15	16
6	12	8	17	5	1	4	12	14	5
5	11	14	12	4	17	10	6	4	2
9	20	14	15	10	2	13	14	5	13
14	12	12	8	9	8	4	11	10	12
15	6	9	5	14	15	19	6	12	7
4	5	8	9	3	15	14	6	7	16
8	4	19	9	4	11	20	9	17	1
11	2	13	15	1	4	16	4	2	5
